,fips,recent_trend_cat,predictions
2195,40143,stable,2
2196,40145,stable,2
2200,40153,stable,2
2201,41001,stable,2
2202,41003,stable,2
2203,41005,rising,1
2204,41007,stable,2
2205,41009,stable,2
2215,41029,stable,2
2220,41039,falling,2
2221,41041,stable,2
2222,41043,stable,2
2223,41045,stable,2
2224,41047,stable,2
2226,41051,stable,2
2231,41061,stable,2
2234,41067,stable,2
2236,41071,stable,2
2237,42001,stable,2
2238,42003,stable,2
2239,42005,rising,1
2240,42007,rising,1
2242,42011,stable,2
2243,42013,rising,2
2244,42015,rising,1
2245,42017,falling,2
2246,42019,rising,1
2249,42025,stable,2
2250,42027,stable,2
2251,42029,stable,2
2253,42033,stable,2
2254,42035,stable,2
2256,42039,stable,2
2258,42043,stable,2
2259,42045,stable,2
2260,42047,rising,1
2261,42049,stable,2
2262,42051,stable,2
2266,42059,rising,1
2267,42061,stable,2
2268,42063,stable,2
2269,42065,stable,2
2272,42071,stable,2
2273,42073,stable,2
2274,42075,stable,2
2275,42077,stable,2
2276,42079,rising,1
2277,42081,stable,2
2278,42083,stable,2
2279,42085,stable,2
2281,42089,stable,2
2282,42091,stable,2
2283,42093,stable,2
2284,42095,rising,1
2285,42097,stable,2
2287,42101,falling,2
2289,42105,stable,2
2290,42107,stable,2
2293,42113,stable,2
2294,42115,rising,1
2297,42121,stable,2
2298,42123,stable,2
2299,42125,rising,1
2301,42129,falling,2
2303,42133,stable,2
2305,44003,stable,2
2306,44005,stable,2
2307,44007,stable,2
2308,44009,stable,2
2309,45001,stable,2
2310,45003,stable,2
2311,45005,stable,2
2312,45007,stable,2
2313,45009,stable,2
2314,45011,stable,2
2316,45015,stable,2
2317,45017,stable,2
2318,45019,stable,2
2319,45021,stable,2
2320,45023,stable,2
2321,45025,stable,2
2324,45031,stable,1
2326,45035,stable,2
2327,45037,stable,2
2328,45039,stable,2
2329,45041,stable,2
2330,45043,rising,1
2331,45045,stable,2
2332,45047,stable,1
2334,45051,stable,2
2336,45055,stable,2
2338,45059,stable,2
2339,45061,stable,2
2340,45063,stable,2
2343,45069,stable,2
2345,45073,stable,2
2346,45075,stable,2
2347,45077,stable,2
2348,45079,stable,2
2350,45083,stable,2
2352,45087,stable,1
2353,45089,stable,2
2354,45091,stable,2
2359,46011,stable,2
2360,46013,stable,1
2368,46029,stable,2
2371,46035,stable,1
2395,46083,stable,2
2397,46087,stable,1
2403,46099,stable,2
2408,46109,rising,1
2410,46115,stable,1
2415,46125,stable,1
2416,46127,stable,2
2418,46135,stable,2
2420,47001,stable,2
2421,47003,stable,2
2422,47005,stable,2
2423,47007,falling,2
2424,47009,stable,2
2425,47011,stable,2
2427,47015,stable,2
2428,47017,stable,2
2430,47021,rising,2
2434,47029,stable,2
2435,47031,stable,2
2437,47035,stable,2
2438,47037,stable,2
2440,47041,stable,2
2442,47045,stable,2
2445,47051,stable,2
2447,47055,stable,2
2448,47057,stable,2
2449,47059,stable,2
2450,47061,stable,2
2452,47065,stable,2
2455,47071,stable,2
2456,47073,stable,2
2457,47075,stable,1
2461,47083,stable,2
2462,47085,stable,2
2464,47089,stable,2
2466,47093,stable,2
2469,47099,stable,2
2470,47101,stable,2
2472,47105,stable,2
2473,47107,stable,2
2476,47113,stable,2
2477,47115,stable,2
2478,47117,stable,2
2479,47119,stable,2
2480,47121,stable,1
2481,47123,stable,2
2482,47125,stable,2
2483,47127,rising,1
2484,47129,stable,2
2485,47131,stable,2
2489,47139,stable,2
2491,47143,stable,2
2492,47145,stable,2
2493,47147,falling,2
2494,47149,stable,2
2497,47155,stable,2
2498,47157,stable,2
2499,47159,stable,2
2501,47163,stable,2
2502,47165,stable,2
2503,47167,stable,2
2506,47173,stable,2
2508,47177,stable,2
2509,47179,stable,2
2510,47181,stable,2
2511,47183,stable,2
2513,47187,stable,2
2516,48003,stable,2
2517,48005,falling,2
2523,48017,stable,2
2529,48029,stable,2
2532,48035,rising,2
2533,48037,stable,2
2534,48039,stable,2
2535,48041,falling,2
2539,48049,stable,2
2541,48053,stable,1
2543,48057,stable,2
2545,48061,rising,2
2546,48063,stable,2
2548,48067,rising,1
2550,48071,stable,2
2557,48085,stable,2
2559,48089,stable,2
2560,48091,stable,2
2563,48097,stable,2
2564,48099,stable,2
2571,48113,rising,2
2573,48117,stable,2
2575,48121,stable,2
2576,48123,stable,2
2582,48135,stable,2
2584,48139,stable,2
2585,48141,rising,1
2587,48145,rising,1
2588,48147,rising,1
2589,48149,stable,2
2593,48157,falling,2
2595,48161,stable,2
2597,48165,stable,2
2598,48167,stable,2
2602,48175,stable,2
2603,48177,stable,2
2604,48179,stable,2
2605,48181,stable,2
2606,48183,stable,2
2607,48185,rising,1
2608,48187,stable,2
2609,48189,stable,2
2614,48199,stable,2
2615,48201,falling,2
2616,48203,stable,2
2622,48215,stable,1
2624,48219,stable,2
2625,48221,stable,2
2627,48225,rising,1
2628,48227,stable,2
2631,48233,stable,2
2633,48237,stable,2
2634,48239,stable,2
2635,48241,stable,2
2637,48245,stable,2
2640,48251,stable,2
2641,48253,stable,2
2651,48273,stable,2
2654,48279,stable,2
2657,48285,stable,2
2659,48289,stable,2
2660,48291,stable,2
2661,48293,stable,2
2663,48297,stable,2
2666,48303,falling,2
2668,48307,stable,2
2669,48309,stable,2
2672,48315,stable,2
2675,48321,stable,2
2677,48325,stable,2
2679,48329,stable,2
2680,48331,stable,2
2683,48337,stable,2
2684,48339,falling,2
2685,48341,stable,2
2686,48343,stable,2
2688,48347,stable,2
2689,48349,stable,2
2690,48351,stable,2
2691,48353,stable,2
2692,48355,stable,2
2695,48361,stable,2
2697,48365,stable,2
2699,48369,stable,2
2700,48371,stable,2
2702,48375,stable,2
2705,48381,stable,2
2712,48395,rising,1
2715,48401,stable,2
2717,48405,stable,2
2719,48409,stable,2
2722,48415,stable,2
2726,48423,stable,2
2727,48425,stable,2
2734,48439,rising,1
2735,48441,stable,2
2739,48449,stable,2
2741,48453,stable,1
2744,48459,stable,2
2748,48467,stable,2
2749,48469,stable,2
2750,48471,rising,1
2755,48481,stable,2
2757,48485,stable,2
2758,48487,stable,2
2760,48491,stable,2
2761,48493,stable,2
2762,48495,stable,2
2763,48497,rising,1
2765,48501,stable,2
2770,49003,rising,1
2771,49005,rising,1
2772,49007,stable,2
2774,49011,rising,1
2775,49013,rising,1
2776,49015,stable,2
2779,49021,stable,2
2782,49027,stable,2
2786,49035,rising,1
2791,49045,stable,2
2793,49049,rising,1
2797,49057,rising,1
2800,50005,rising,1
2801,50007,stable,2
2803,50011,stable,1
2812,51001,stable,2
2814,51005,stable,2
2816,51009,stable,2
2819,51015,falling,2
2821,51021,stable,2
2822,51023,stable,2
2826,51031,stable,2
2828,51035,stable,2
2831,51041,stable,2
2832,51043,stable,2
2837,51053,stable,2
2839,51059,stable,2
2841,51063,stable,2
2844,51069,stable,2
2845,51071,stable,2
2848,51077,stable,2
